CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
33153;108.0;253.0;20540.0;;;;;;;;;;;;;;;;;;;;;;;;
33154;834.0;1995.0;16530.0;;;;;;;;;;;;;;;;;;;;;;;;
33155;75.0;158.0;19540.0;;;;;;;;;;;;;;;;;;;;;;;;
33156;121.0;295.0;19130.0;;;;;;;;;;;;;;;;;;;;;;;;
33157;278.0;772.0;21760.0;;;;;;;;;;;;;;;;;;;;;;;;
33158;104.0;252.0;19850.0;;;;;;;;;;;;;;;;;;;;;;;;
33159;714.0;1563.0;18810.0;;;;;;;;;;;;;;;;;;;;;;;;
33160;250.0;564.0;20190.0;;;;;;;;;;;;;;;;;;;;;;;;
33161;320.0;744.0;19530.0;;;;;;;;;;;;;;;;;;;;;;;;
33162;10437.0;23140.0;21800.0;58.0;12.0;13.0;13.0;15.0;13.0;7.0;;5.0;20.0;78.4;70.2;3.5;4.7;25.1;8.0;5.5;2.0;2.0;1.5;-17.0;11990.0;36110.0;3.0
33163;174.0;448.0;20530.0;;;;;;;;;;;;;;;;;;;;;;;;
33164;663.0;1613.0;23150.0;;;;;;;;;;;;;;;;;;;;;;;;
33165;1359.0;3049.0;23750.0;61.0;7.0;;;;;;;;;78.5;69.8;3.3;5.4;25.3;10.6;3.2;1.4;1.0;0.8;-17.6;14060.0;39660.0;2.8
33166;191.0;484.0;18790.0;;;;;;;;;;;;;;;;;;;;;;;;
33167;7510.0;17777.0;18610.0;44.0;21.0;25.0;25.0;22.0;23.0;14.0;;6.0;32.0;73.4;65.5;4.2;3.7;25.6;5.4;9.7;3.1;3.9;2.7;-14.1;10250.0;31130.0;3.0
33168;243.0;548.0;18980.0;;;;;;;;;;;;;;;;;;;;;;;;
33169;;;;;;;;;;;;;;;;;;;;;;;;;;;
33170;313.0;735.0;20160.0;;;;;;;;;;;;;;;;;;;;;;;;
33171;88.0;221.0;19140.0;;;;;;;;;;;;;;;;;;;;;;;;
33172;121.0;299.0;21730.0;;;;;;;;;;;;;;;;;;;;;;;;
